"Origem
/Destino";Centro;Fazenda;Cabeçudas;Praia Brava;Ressacada;Cidade Nova;São Vicente;Dom Bosco;Vila Operária;São João;Barra do Rio;Cordeiros;Salseiros;Espinheiros;Itaipava;Canhanduba;São Judas;Limoeiro;Brilhante;Arraial dos Cunhas;Km 12;Laranjeiras;Imaruí;TOTAL
Centro;165;79;5;19;11;45;77;22;10;40;7;97;;18;17;5;7;;1;6;3;;1;634,4412
Fazenda;89;120;4;15;1;15;16;9;1;8;1;6;;;3;;;;;;;;1;288,0796
Cabeçudas;11;4;2;2;;2;16;3;;2;;6;;2;;2;2;;;;;;;54,119
Praia Brava;14;14;2;32;;;2;4;1;4;;9;1;;1;;1;;;;1;;;86,1741
Ressacada;13;1;;;19;8;4;3;4;2;1;;2;2;7;3;5;;3;;;;1;77,8481
Cidade Nova;46;16;2;;9;181;29;12;2;7;4;26;6;14;4;2;12;;2;;2;;2;378,833
São Vicente;83;16;15;3;3;30;348;5;7;24;2;47;;3;4;;4;;;;;;4;598,2231
Dom Bosco;18;10;4;4;3;12;6;33;3;6;1;4;;;;;2;;;;;;;105,7402
Vila Operária;9;1;;1;3;3;8;4;8;7;2;5;1;;5;;4;;;;;;;60,7798
São João;48;8;2;4;2;9;27;6;7;44;;22;;;;;2;;;;;;;181,5068
Barra do Rio;12;1;;;1;4;2;1;2;;13;4;15;25;4;1;3;2;3;;;1;6;99,4957
Cordeiros;106;7;7;10;;25;48;5;5;22;5;272;35;1;1;;;;;;;;2;550,7649
Salseiros;;;;1;;2;6;;;1;;17;2;31;12;;1;;;;;;1;73,2688
Espinheiros;23;;2;;;3;11;3;;;;24;2;31;12;;1;;;;;;1;112,401
Itaipava;19;3;;;3;6;4;4;;5;;5;;9;80;1;;;;2;1;;;141,9583
Canhanduba;5;;2;;3;2;;;;;;;;;1;26;1;1;;;;;;40,3811
São Judas;9;;2;;3;5;13;4;3;5;3;3;;1;;;21;;;;;;;71,6036
Limoeiro;;;;;;;;;;;;2;;;;;;11;;1;;;;13,7379
Brilhante;1;;;;;4;2;;;;;2;;;;;;;28;2;;;;39,1322
Paciência;;;;;;;;;;;;;;;;;;;;;;;;0
Arraial dos Cunhas;7;;;;;;;;;;;;;1;;;;1;2;12;;;;22,8965
Km 12;3;;;1;;;2;;;;;;;1;;;;;;;18;;;24,5617
Laranjeiras;;;;;;;;;;;;1;;;;;;;;;;;;0,8326
Imaruí;;;;;;;;;;;;;;;;;;;;;;;2;2,0815
